transaction_id,customer_id,transaction_datetime,city,payment_method,transaction_type,device_type,amount,risk_score,fraud_flag,fraud_reason
1,CUST_800,2025-03-23 10:57:00,Ziguinchor,Carte Bancaire,Transfert,Android,31501,0,0,Normal
2,CUST_185,2025-03-06 09:28:00,Saint-Louis,Wave,Transfert,iPhone,13739,0,0,Normal
3,CUST_400,2025-05-29 13:18:00,Ziguinchor,Orange Money,Retrait,iPhone,16108,0,0,Normal
4,CUST_68,2025-06-27 08:51:00,Saint-Louis,Wave,Transfert,iPhone,22744,0,0,Normal
5,CUST_859,2025-02-03 13:23:00,Ziguinchor,Free Money,Retrait,iPhone,40874,0,0,Normal
6,CUST_665,2025-01-20 16:32:00,Kaolack,Carte Bancaire,Retrait,Android,7549,0,0,Normal
7,CUST_746,2025-03-19 13:12:00,Ziguinchor,Free Money,Transfert,Android,5954,0,0,Normal
8,CUST_298,2025-01-11 10:27:00,Saint-Louis,Orange Money,Paiement,Android,54448,0,0,Normal
9,CUST_318,2025-01-03 13:05:00,Kaolack,Carte Bancaire,Transfert,Android,19210,0,0,Normal
10,CUST_527,2025-01-12 09:07:00,Saint-Louis,Wave,Retrait,Android,23503,0,0,Normal
11,CUST_440,2025-02-06 13:28:00,Dakar,Carte Bancaire,Retrait,Android,18141,0,0,Normal
12,CUST_777,2025-06-08 13:58:00,Kaolack,Wave,Paiement,Android,4780,0,0,Normal
13,CUST_364,2025-06-02 11:51:00,Thiès,Carte Bancaire,Retrait,Android,9788,0,0,Normal
14,CUST_573,2025-01-25 18:53:00,Dakar,Orange Money,Paiement,Android,14719,0,0,Normal
15,CUST_61,2025-03-29 08:52:00,Dakar,Orange Money,Paiement,iPhone,7668,0,0,Normal
16,CUST_385,2025-01-02 08:05:00,Ziguinchor,Free Money,Paiement,iPhone,32828,0,0,Normal
17,CUST_306,2025-02-19 19:23:00,Saint-Louis,Carte Bancaire,Paiement,Android,21092,0,0,Normal
18,CUST_952,2025-05-29 09:31:00,Kaolack,Free Money,Paiement,Android,27747,0,0,Normal
19,CUST_18,2025-05-02 05:08:00,Dakar,Wave,Retrait,iPhone,9623,0,0,Normal
20,CUST_225,2025-03-13 12:20:00,Saint-Louis,Wave,Paiement,Android,81419,0,0,Normal
21,CUST_345,2025-06-13 09:53:00,Ziguinchor,Carte Bancaire,Paiement,Android,61813,0,0,Normal
22,CUST_225,2025-04-09 08:58:00,Saint-Louis,Free Money,Paiement,Android,43704,0,0,Normal
23,CUST_251,2025-05-22 12:21:00,Ziguinchor,Orange Money,Transfert,Android,9679,0,0,Normal
24,CUST_247,2025-01-23 09:18:00,Kaolack,Free Money,Retrait,iPhone,5158,0,0,Normal
25,CUST_362,2025-03-31 11:35:00,Saint-Louis,Wave,Transfert,iPhone,1321,0,0,Normal
26,CUST_347,2025-02-17 17:50:00,Thiès,Wave,Transfert,Android,3450,0,0,Normal
27,CUST_99,2025-04-09 13:26:00,Dakar,Orange Money,Retrait,Android,30270,0,0,Normal
28,CUST_964,2025-05-22 06:21:00,Saint-Louis,Orange Money,Transfert,iPhone,24348,0,0,Normal
29,CUST_842,2025-05-20 12:51:00,Saint-Louis,Wave,Retrait,Android,4123,0,0,Normal
30,CUST_81,2025-04-19 17:03:00,Thiès,Carte Bancaire,Transfert,iPhone,21765,0,0,Normal
31,CUST_131,2025-03-05 16:58:00,Kaolack,Orange Money,Transfert,iPhone,17574,0,0,Normal
32,CUST_961,2025-03-07 16:30:00,Ziguinchor,Free Money,Retrait,iPhone,18315,0,0,Normal
33,CUST_216,2025-02-18 15:56:00,Dakar,Carte Bancaire,Retrait,iPhone,17744,0,0,Normal
34,CUST_390,2025-04-19 23:37:00,Kaolack,Free Money,Paiement,iPhone,53584,0,0,Normal
35,CUST_151,2025-01-13 12:33:00,Saint-Louis,Wave,Transfert,Android,12110,0,0,Normal
36,CUST_648,2025-03-01 10:12:00,Kaolack,Orange Money,Paiement,Android,75643,0,0,Normal
37,CUST_327,2025-03-25 16:24:00,Dakar,Wave,Transfert,Android,8164,0,0,Normal
38,CUST_241,2025-01-12 17:14:00,Thiès,Orange Money,Retrait,Android,52275,0,0,Normal
39,CUST_136,2025-01-27 08:27:00,Dakar,Carte Bancaire,Transfert,iPhone,65292,0,0,Normal
40,CUST_27,2025-06-22 05:33:00,Saint-Louis,Orange Money,Transfert,iPhone,2867,0,0,Normal
41,CUST_720,2025-05-17 09:54:00,Ziguinchor,Orange Money,Paiement,iPhone,4761,0,0,Normal
42,CUST_910,2025-01-14 08:22:00,Saint-Louis,Wave,Transfert,Android,11189,0,0,Normal
43,CUST_435,2025-04-21 17:47:00,Saint-Louis,Orange Money,Retrait,Android,40996,0,0,Normal
44,CUST_812,2025-02-23 15:50:00,Thiès,Wave,Paiement,Android,10805,0,0,Normal
45,CUST_881,2025-06-08 14:35:00,Kaolack,Wave,Paiement,Android,32367,0,0,Normal
46,CUST_531,2025-01-03 17:24:00,Thiès,Free Money,Paiement,Android,16833,0,0,Normal
47,CUST_704,2025-03-24 16:26:00,Dakar,Wave,Transfert,Android,11089,0,0,Normal
48,CUST_538,2025-06-02 07:56:00,Saint-Louis,Carte Bancaire,Paiement,Android,61189,0,0,Normal
49,CUST_801,2025-06-08 10:08:00,Dakar,Wave,Retrait,iPhone,62797,0,0,Normal
50,CUST_187,2025-04-10 08:31:00,Dakar,Orange Money,Transfert,Android,30275,0,0,Normal
51,CUST_336,2025-02-13 09:34:00,Ziguinchor,Orange Money,Retrait,Android,54575,0,0,Normal
52,CUST_529,2025-03-22 19:56:00,Ziguinchor,Orange Money,Retrait,Android,14362,0,0,Normal
53,CUST_128,2025-03-10 13:18:00,Kaolack,Carte Bancaire,Retrait,iPhone,75779,0,0,Normal
54,CUST_427,2025-02-16 18:42:00,Kaolack,Orange Money,Retrait,Android,36764,0,0,Normal
55,CUST_966,2025-01-16 17:42:00,Dakar,Orange Money,Transfert,iPhone,66723,0,0,Normal
56,CUST_223,2025-02-19 06:00:00,Thiès,Orange Money,Retrait,iPhone,51103,0,0,Normal
57,CUST_15,2025-03-16 16:37:00,Saint-Louis,Wave,Paiement,iPhone,42654,0,0,Normal
58,CUST_728,2025-01-29 13:14:00,Thiès,Free Money,Paiement,Android,43779,0,0,Normal
59,CUST_833,2025-02-06 09:33:00,Saint-Louis,Free Money,Transfert,iPhone,50259,0,0,Normal
60,CUST_257,2025-04-21 15:14:00,Saint-Louis,Free Money,Retrait,Android,7646,0,0,Normal
61,CUST_286,2025-06-28 08:18:00,Thiès,Orange Money,Paiement,Android,500,0,0,Normal
62,CUST_9,2025-03-29 13:18:00,Thiès,Free Money,Retrait,iPhone,12987,0,0,Normal
63,CUST_203,2025-01-08 04:54:00,Ziguinchor,Free Money,Transfert,iPhone,37686,25,0,Normal
64,CUST_211,2025-04-26 00:53:00,Saint-Louis,Orange Money,Retrait,Android,2942,0,0,Normal
65,CUST_494,2025-06-30 15:51:00,Thiès,Carte Bancaire,Retrait,Android,2874,0,0,Normal
66,CUST_14,2025-04-29 09:25:00,Ziguinchor,Carte Bancaire,Paiement,Android,4390,0,0,Normal
67,CUST_516,2025-05-22 13:23:00,Thiès,Free Money,Transfert,Android,24421,0,0,Normal
68,CUST_846,2025-05-07 07:55:00,Ziguinchor,Carte Bancaire,Paiement,iPhone,14858,0,0,Normal
69,CUST_126,2025-03-10 14:05:00,Kaolack,Carte Bancaire,Paiement,Android,47825,0,0,Normal
70,CUST_541,2025-06-24 08:05:00,Ziguinchor,Free Money,Transfert,Android,21601,0,0,Normal
71,CUST_858,2025-01-01 07:08:00,Thiès,Free Money,Retrait,iPhone,56789,0,0,Normal
72,CUST_729,2025-06-10 12:05:00,Kaolack,Carte Bancaire,Transfert,Android,46290,0,0,Normal
73,CUST_815,2025-05-08 06:38:00,Kaolack,Carte Bancaire,Transfert,Android,21355,0,0,Normal
74,CUST_491,2025-05-14 12:45:00,Dakar,Wave,Transfert,Android,10131,30,0,Normal
75,CUST_158,2025-02-18 08:56:00,Dakar,Wave,Retrait,iPhone,15092,0,0,Normal
76,CUST_373,2025-06-15 10:52:00,Kaolack,Wave,Paiement,Android,16058,0,0,Normal
77,CUST_43,2025-01-23 19:43:00,Ziguinchor,Carte Bancaire,Paiement,iPhone,29899,0,0,Normal
78,CUST_398,2025-05-29 08:50:00,Dakar,Orange Money,Retrait,iPhone,3512,0,0,Normal
79,CUST_137,2025-01-11 10:52:00,Thiès,Wave,Paiement,iPhone,36291,0,0,Normal
80,CUST_390,2025-03-12 08:48:00,Kaolack,Wave,Paiement,iPhone,91918,0,0,Normal
81,CUST_94,2025-03-07 10:16:00,Ziguinchor,Wave,Paiement,Android,62757,0,0,Normal
82,CUST_423,2025-03-01 09:15:00,Kaolack,Wave,Retrait,iPhone,29251,0,0,Normal
83,CUST_245,2025-03-11 13:23:00,Kaolack,Orange Money,Transfert,Android,10572,30,0,Normal
84,CUST_17,2025-06-12 18:50:00,Dakar,Carte Bancaire,Paiement,Android,25629,0,0,Normal
85,CUST_94,2025-05-17 08:16:00,Ziguinchor,Free Money,Paiement,iPhone,23690,0,0,Normal
86,CUST_761,2025-05-12 12:13:00,Thiès,Carte Bancaire,Transfert,Android,41571,0,0,Normal
87,CUST_916,2025-03-15 11:08:00,Ziguinchor,Orange Money,Transfert,Android,21944,0,0,Normal
88,CUST_469,2025-01-13 14:47:00,Dakar,Carte Bancaire,Paiement,Android,15036,0,0,Normal
89,CUST_48,2025-04-30 01:23:00,Thiès,Wave,Paiement,iPhone,3278,25,0,Normal
90,CUST_172,2025-05-21 13:01:00,Thiès,Free Money,Retrait,Android,39450,0,0,Normal
91,CUST_362,2025-06-04 21:28:00,Saint-Louis,Orange Money,Paiement,iPhone,14228,0,0,Normal
92,CUST_150,2025-01-03 07:03:00,Dakar,Carte Bancaire,Retrait,Android,40974,0,0,Normal
